高 0 1 B 高 B-NAME
董 31 33 B 董 B-TITLE
事 31 33 M 事 M-TITLE
长 31 33 E 长 E-TITLE
、 34 34 S 、 O
总 35 37 B 总 B-TITLE
经 35 37 M 经 M-TITLE
理 35 37 E 理 E-TITLE
； 38 38 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
1 0 4 M 1 O
0 0 4 M 0 O
年 0 4 E 年 O
1 5 7 B 1 O
0 5 7 M 0 O
月 5 7 E 月 O
至 8 8 S 至 O
2 9 13 B 2 O
0 9 13 M 0 O
1 9 13 M 1 O
3 9 13 M 3 O
年 9 13 E 年 O
1 14 16 B 1 O
2 14 16 M 2 O
月 14 16 E 月 O
任 17 17 S 任 O
新 18 19 B 新 B-ORG
疆 18 19 E 疆 M-ORG
天 20 21 B 天 M-ORG
润 20 21 E 润 M-ORG
生 22 23 B 生 M-ORG
物 22 23 E 物 M-ORG
科 24 25 B 科 M-ORG
技 24 25 E 技 M-ORG
股 26 27 B 股 M-ORG
份 26 27 E 份 M-ORG
有 28 29 B 有 M-ORG
限 28 29 E 限 M-ORG
公 30 31 B 公 M-ORG
司 30 31 E 司 E-ORG
副 32 35 B 副 B-TITLE
总 32 35 M 总 M-TITLE
经 32 35 M 经 M-TITLE
理 32 35 E 理 E-TITLE
、 36 36 S 、 O
总 37 39 B 总 B-TITLE
经 37 39 M 经 M-TITLE
理 37 39 E 理 E-TITLE
， 40 40 S ， O
同 41 42 B 同 O
时 41 42 E 时 O
兼 43 44 B 兼 O
任 43 44 E 任 O
上 45 46 B 上 B-ORG
述 45 46 E 述 M-ORG
两 47 47 S 两 M-ORG
个 48 48 S 个 M-ORG
子 49 51 B 子 M-ORG
公 49 51 M 公 M-ORG
司 49 51 E 司 E-ORG
的 52 52 S 的 O
董 53 55 B 董 B-TITLE
事 53 55 M 事 M-TITLE
长 53 55 E 长 E-TITLE
、 56 56 S 、 O
总 57 59 B 总 B-TITLE
经 57 59 M 经 M-TITLE
理 57 59 E 理 E-TITLE
； 60 60 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
1 0 4 M 1 O
3 0 4 M 3 O
年 0 4 E 年 O
1 5 7 B 1 O
2 5 7 M 2 O
月 5 7 E 月 O
至 8 9 B 至 O
今 8 9 E 今 O
任 10 10 S 任 O
新 11 12 B 新 B-ORG
疆 11 12 E 疆 M-ORG
天 13 14 B 天 M-ORG
润 13 14 E 润 M-ORG
乳 15 16 B 乳 M-ORG
业 15 16 E 业 M-ORG
股 17 18 B 股 M-ORG
份 17 18 E 份 M-ORG
有 19 20 B 有 M-ORG
限 19 20 E 限 M-ORG
公 21 22 B 公 M-ORG
司 21 22 E 司 E-ORG
党 23 24 B 党 B-TITLE
委 23 24 E 委 M-TITLE
副 25 27 B 副 M-TITLE
书 25 27 M 书 M-TITLE
记 25 27 E 记 E-TITLE
、 28 28 S 、 O
董 29 30 B 董 B-TITLE
事 29 30 E 事 E-TITLE
、 31 31 S 、 O
总 32 34 B 总 B-TITLE
经 32 34 M 经 M-TITLE
理 32 34 E 理 E-TITLE
。 35 35 S 。 O
 
李 0 2 B 李 B-NAME
仁 0 2 M 仁 M-NAME
虎 0 2 E 虎 E-NAME
先 3 4 B 先 O
生 3 4 E 生 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
6 0 4 M 6 O
3 0 4 M 3 O
年 0 4 E 年 O
1 5 8 B 1 O
1 5 8 M 1 O
月 5 8 M 月 O
生 5 8 E 生 O
， 9 9 S ， O
中 10 11 B 中 B-CONT
国 10 11 E 国 M-CONT
国 12 13 B 国 M-CONT
籍 12 13 E 籍 E-CONT
， 14 14 S ， O
无 15 16 B 无 O
境 15 16 E 境 O
外 17 18 B 外 O
居 17 18 E 居 O
留 19 20 B 留 O
权 19 20 E 权 O
， 21 21 S ， O
毕 22 24 B 毕 O
业 22 24 M 业 O
于 22 24 E 于 O
清 25 26 B 清 B-ORG
华 25 26 E 华 M-ORG
大 27 28 B 大 M-ORG
学 27 28 E 学 E-ORG
在 29 30 B 在 B-EDU
职 29 30 E 职 M-EDU
研 31 33 B 研 M-EDU
究 31 33 M 究 M-EDU
生 31 33 E 生 M-EDU
班 34 34 S 班 E-EDU
， 35 35 S ， O
硕 36 37 B 硕 B-EDU
士 36 37 E 士 M-EDU
学 38 39 B 学 M-EDU
历 38 39 E 历 E-EDU
， 40 40 S ， O
现 41 42 B 现 O
任 41 42 E 任 O
公 43 44 B 公 B-ORG
司 43 44 E 司 E-ORG
监 45 47 B 监 B-TITLE
事 45 47 M 事 M-TITLE
会 45 47 E 会 M-TITLE
主 48 49 B 主 M-TITLE
席 48 49 E 席 E-TITLE
、 50 50 S 、 O
振 51 52 B 振 B-ORG
东 51 52 E 东 M-ORG
集 53 54 B 集 M-ORG
团 53 54 E 团 E-ORG
计 55 56 B 计 B-TITLE
划 55 56 E 划 M-TITLE
财 57 59 B 财 M-TITLE
务 57 59 M 务 M-TITLE
部 57 59 E 部 M-TITLE
总 60 62 B 总 M-TITLE
经 60 62 M 经 M-TITLE
理 60 62 E 理 E-TITLE
。 63 63 S 。 O
 
李 0 0 S 李 S-NAME
先 1 2 B 先 O
生 1 2 E 生 O
自 3 3 S 自 O
1 4 8 B 1 O
9 4 8 M 9 O
9 4 8 M 9 O
6 4 8 M 6 O
年 4 8 E 年 O
加 9 10 B 加 O
入 9 10 E 入 O
振 11 12 B 振 B-ORG
东 11 12 E 东 M-ORG
集 13 14 B 集 M-ORG
团 13 14 E 团 E-ORG
以 15 16 B 以 O
来 15 16 E 来 O
， 17 17 S ， O
长 18 19 B 长 O
期 18 19 E 期 O
负 20 21 B 负 O
责 20 21 E 责 O
集 22 23 B 集 O
团 22 23 E 团 O
财 24 25 B 财 O
务 24 25 E 务 O
工 26 27 B 工 O
作 26 27 E 作 O
， 28 28 S ， O
历 29 30 B 历 O
任 29 30 E 任 O
计 31 32 B 计 B-TITLE
划 31 32 E 划 M-TITLE
财 33 35 B 财 M-TITLE
务 33 35 M 务 M-TITLE
部 33 35 E 部 M-TITLE
主 36 37 B 主 M-TITLE
管 36 37 E 管 M-TITLE
会 38 39 B 会 M-TITLE
计 38 39 E 计 E-TITLE
、 40 40 S 、 O
经 41 42 B 经 B-TITLE
理 41 42 E 理 E-TITLE
、 43 43 S 、 O
总 44 46 B 总 B-TITLE
经 44 46 M 经 M-TITLE
理 44 46 E 理 E-TITLE
等 47 48 B 等 O
职 47 48 E 职 O
， 49 49 S ， O
拥 50 51 B 拥 O
有 50 51 E 有 O
丰 52 53 B 丰 O
富 52 53 E 富 O
的 54 54 S 的 O
企 55 56 B 企 O
业 55 56 E 业 O
财 57 58 B 财 O
务 57 58 E 务 O
管 59 60 B 管 O
理 59 60 E 理 O
经 61 62 B 经 O
验 61 62 E 验 O
。 63 63 S 。 O
 
邵 0 2 B 邵 B-NAME
淑 0 2 M 淑 M-NAME
婉 0 2 E 婉 E-NAME
女 3 4 B 女 O
士 3 4 E 士 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
7 0 4 M 7 O
7 0 4 M 7 O
年 0 4 E 年 O
出 5 6 B 出 O
生 5 6 E 生 O
， 7 7 S ， O
本 8 9 B 本 B-EDU
科 8 9 E 科 M-EDU
学 10 11 B 学 M-EDU
历 10 11 E 历 E-EDU
。 12 12 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
广 2 3 B 广 B-ORG
东 2 3 E 东 M-ORG
威 4 5 B 威 M-ORG
奇 4 5 E 奇 M-ORG
材 6 7 B 材 M-ORG
料 6 7 E 料 M-ORG
电 8 9 B 电 M-ORG
工 8 9 E 工 M-ORG
有 10 11 B 有 M-ORG
限 10 11 E 限 M-ORG
公 12 13 B 公 M-ORG
司 12 13 E 司 E-ORG
财 14 16 B 财 B-TITLE
务 14 16 M 务 M-TITLE
部 14 16 E 部 M-TITLE
部 17 18 B 部 M-TITLE
长 17 18 E 长 E-TITLE
。 19 19 S 。 O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
0 0 4 M 0 O
年 0 4 E 年 O
至 5 6 B 至 O
今 5 6 E 今 O
任 7 8 B 任 O
职 7 8 E 职 O
广 9 10 B 广 B-ORG
东 9 10 E 东 M-ORG
威 11 12 B 威 M-ORG
奇 11 12 E 奇 M-ORG
材 13 14 B 材 M-ORG
料 13 14 E 料 M-ORG
电 15 16 B 电 M-ORG
工 15 16 E 工 M-ORG
有 17 18 B 有 M-ORG
限 17 18 E 限 M-ORG
公 19 20 B 公 M-ORG
司 19 20 E 司 E-ORG
。 21 21 S 。 O
 
中 0 3 B 中 B-NAME
山 0 3 M 山 M-NAME
太 0 3 M 太 M-NAME
郎 0 3 E 郎 E-NAME
（ 4 4 S （ O
T 5 9 B T B-NAME
A 5 9 M A M-NAME
R 5 9 M R M-NAME
O 5 9 M O M-NAME
N 5 9 E N M-NAME
A 10 16 B A M-NAME
K 10 16 M K M-NAME
A 10 16 M A M-NAME
Y 10 16 M Y M-NAME
A 10 16 M A M-NAME
M 10 16 M M M-NAME
A 10 16 E A E-NAME
） 17 17 S ） O
先 18 19 B 先 O
生 18 19 E 生 O
1 20 24 B 1 O
9 20 24 M 9 O
5 20 24 M 5 O
5 20 24 M 5 O
年 20 24 E 年 O
9 25 26 B 9 O
月 25 26 E 月 O
1 27 29 B 1 O
8 27 29 M 8 O
日 27 29 E 日 O
出 30 31 B 出 O
生 30 31 E 生 O
， 32 32 S ， O
国 33 34 B 国 B-CONT
籍 33 34 E 籍 M-CONT
： 35 35 S ： M-CONT
日 36 37 B 日 M-CONT
本 36 37 E 本 E-CONT
。 38 38 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
8 0 4 M 8 O
0 0 4 M 0 O
年 0 4 E 年 O
3 5 5 S 3 O
毕 6 8 B 毕 O
业 6 8 M 业 O
于 6 8 E 于 O
早 9 9 S 早 B-ORG
稻 10 11 B 稻 M-ORG
田 10 11 E 田 M-ORG
大 12 13 B 大 M-ORG
学 12 13 E 学 M-ORG
法 14 16 B 法 M-ORG
务 14 16 M 务 M-ORG
部 14 16 E 部 E-ORG
。 17 17 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
8 0 4 M 8 O
0 0 4 M 0 O
年 0 4 E 年 O
4 5 6 B 4 O
月 5 6 E 月 O
， 7 7 S ， O
任 8 9 B 任 O
职 8 9 E 职 O
日 10 11 B 日 B-ORG
产 10 11 E 产 M-ORG
汽 12 13 B 汽 M-ORG
车 12 13 E 车 M-ORG
公 14 15 B 公 M-ORG
司 14 15 E 司 E-ORG
。 16 16 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
5 0 4 M 5 O
年 0 4 E 年 O
7 5 6 B 7 O
月 5 6 E 月 O
， 7 7 S ， O
日 8 9 B 日 B-ORG
产 8 9 E 产 M-ORG
汽 10 11 B 汽 M-ORG
车 10 11 E 车 E-ORG
中 12 13 B 中 B-TITLE
近 12 13 E 近 M-TITLE
东 14 16 B 东 M-TITLE
南 14 16 M 南 M-TITLE
非 14 16 E 非 M-TITLE
事 17 19 B 事 M-TITLE
业 17 19 M 业 M-TITLE
部 17 19 E 部 M-TITLE
主 20 21 B 主 M-TITLE
担 20 21 E 担 E-TITLE
。 22 22 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
7 0 4 M 7 O
年 0 4 E 年 O
7 5 6 B 7 O
月 5 6 E 月 O
， 7 7 S ， O
派 8 9 B 派 O
驻 8 9 E 驻 O
南 10 12 B 南 B-ORG
非 10 12 M 非 M-ORG
日 10 12 E 日 M-ORG
产 13 14 B 产 E-ORG
任 13 14 E 任 O
经 15 17 B 经 B-TITLE
营 15 17 M 营 M-TITLE
室 15 17 E 室 M-TITLE
室 18 19 B 室 M-TITLE
长 18 19 E 长 E-TITLE
。 20 20 S 。 O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
0 0 4 M 0 O
年 0 4 E 年 O
1 5 6 B 1 O
月 5 6 E 月 O
产 7 9 B 产 B-ORG
汽 7 9 M 汽 M-ORG
车 7 9 E 车 E-ORG
企 10 12 B 企 B-TITLE
划 10 12 M 划 M-TITLE
室 10 12 E 室 M-TITLE
主 13 14 B 主 M-TITLE
担 13 14 E 担 E-TITLE
。 15 15 S 。 O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
1 0 4 M 1 O
年 0 4 E 年 O
4 5 6 B 4 O
月 5 6 E 月 O
， 7 7 S ， O
日 8 9 B 日 B-ORG
产 8 9 E 产 M-ORG
汽 10 11 B 汽 M-ORG
车 10 11 E 车 E-ORG
企 12 14 B 企 B-TITLE
划 12 14 M 划 M-TITLE
室 12 14 E 室 M-TITLE
主 15 16 B 主 M-TITLE
管 15 16 E 管 E-TITLE
。 17 17 S 。 O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
2 0 4 M 2 O
年 0 4 E 年 O
4 5 6 B 4 O
日 5 6 E 日 B-ORG
产 7 7 S 产 M-ORG
汽 8 9 B 汽 M-ORG
车 8 9 E 车 E-ORG
中 10 11 B 中 B-TITLE
国 10 11 E 国 M-TITLE
事 12 14 B 事 M-TITLE
业 12 14 M 业 M-TITLE
室 12 14 E 室 M-TITLE
主 15 16 B 主 M-TITLE
管 15 16 E 管 E-TITLE
。 17 17 S 。 O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
3 0 4 M 3 O
年 0 4 E 年 O
7 5 6 B 7 O
月 5 6 E 月 O
， 7 7 S ， O
派 8 9 B 派 O
驻 8 9 E 驻 O
东 10 11 B 东 B-ORG
风 10 11 E 风 M-ORG
汽 12 13 B 汽 M-ORG
车 12 13 E 车 M-ORG
有 14 15 B 有 M-ORG
限 14 15 E 限 M-ORG
公 16 17 B 公 M-ORG
司 16 17 E 司 E-ORG
任 18 18 S 任 O
经 19 20 B 经 B-TITLE
营 19 20 E 营 M-TITLE
规 21 22 B 规 M-TITLE
划 21 22 E 划 M-TITLE
总 23 24 B 总 M-TITLE
部 23 24 E 部 M-TITLE
总 25 25 S 总 M-TITLE
部 26 27 B 部 M-TITLE
长 26 27 E 长 E-TITLE
。 28 28 S 。 O
 
韩 0 1 B 韩 B-NAME
豫 0 1 E 豫 E-NAME
， 2 2 S ， O
男 3 3 S 男 O
， 4 4 S ， O
汉 5 6 B 汉 B-RACE
族 5 6 E 族 E-RACE
， 7 7 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
5 0 4 M 5 O
2 0 4 M 2 O
年 0 4 E 年 O
出 5 6 B 出 O
生 5 6 E 生 O
， 7 7 S ， O
中 8 9 B 中 B-TITLE
共 8 9 E 共 M-TITLE
党 10 11 B 党 M-TITLE
员 10 11 E 员 E-TITLE
， 12 12 S ， O
大 13 14 B 大 B-EDU
学 13 14 E 学 M-EDU
学 15 16 B 学 M-EDU
历 15 16 E 历 E-EDU
， 17 17 S ， O
经 18 20 B 经 B-TITLE
济 18 20 M 济 M-TITLE
师 18 20 E 师 E-TITLE
。 21 21 S 。 O
 
曾 0 0 S 曾 O
任 1 1 S 任 O
宁 2 3 B 宁 B-ORG
夏 2 3 E 夏 M-ORG
科 4 5 B 科 M-ORG
技 4 5 E 技 M-ORG
印 6 8 B 印 M-ORG
刷 6 8 M 刷 M-ORG
厂 6 8 E 厂 E-ORG
会 9 10 B 会 B-TITLE
计 9 10 E 计 E-TITLE
； 11 11 S ； O
 
宁 0 1 B 宁 B-ORG
夏 0 1 E 夏 M-ORG
新 2 2 S 新 M-ORG
技 3 4 B 技 M-ORG
术 3 4 E 术 M-ORG
应 5 6 B 应 M-ORG
用 5 6 E 用 M-ORG
研 7 9 B 研 M-ORG
究 7 9 M 究 M-ORG
所 7 9 E 所 E-ORG
开 10 12 B 开 B-TITLE
发 10 12 M 发 M-TITLE
部 10 12 E 部 M-TITLE
主 13 14 B 主 M-TITLE
任 13 14 E 任 E-TITLE
； 15 15 S ； O
 
宁 0 1 B 宁 B-ORG
夏 0 1 E 夏 M-ORG
信 2 3 B 信 M-ORG
托 2 3 E 托 M-ORG
投 4 5 B 投 M-ORG
资 4 5 E 资 M-ORG
公 6 7 B 公 M-ORG
司 6 7 E 司 E-ORG
信 8 10 B 信 O
托 8 10 M 托 O
部 8 10 E 部 O
、 11 11 S 、 O
投 12 14 B 投 O
资 12 14 M 资 O
部 12 14 E 部 O
、 15 15 S 、 O
信 16 18 B 信 B-TITLE
贷 16 18 M 贷 M-TITLE
部 16 18 E 部 M-TITLE
经 19 20 B 经 M-TITLE
理 19 20 E 理 E-TITLE
； 21 21 S ； O
 
宁 0 1 B 宁 B-ORG
夏 0 1 E 夏 M-ORG
伊 2 4 B 伊 M-ORG
斯 2 4 M 斯 M-ORG
兰 2 4 E 兰 M-ORG
国 5 6 B 国 M-ORG
际 5 6 E 际 M-ORG
信 7 8 B 信 M-ORG
托 7 8 E 托 M-ORG
投 9 10 B 投 M-ORG
资 9 10 E 资 M-ORG
公 11 12 B 公 M-ORG
司 11 12 E 司 E-ORG
物 13 15 B 物 O
业 13 15 M 业 O
部 13 15 E 部 O
、 16 16 S 、 O
投 17 19 B 投 B-TITLE
资 17 19 M 资 M-TITLE
部 17 19 E 部 M-TITLE
经 20 21 B 经 M-TITLE
理 20 21 E 理 E-TITLE
； 22 22 S ； O
 
伊 0 2 B 伊 B-ORG
斯 0 2 M 斯 M-ORG
兰 0 2 E 兰 M-ORG
国 3 4 B 国 M-ORG
际 3 4 E 际 M-ORG
信 5 6 B 信 M-ORG
托 5 6 E 托 M-ORG
投 7 8 B 投 M-ORG
资 7 8 E 资 M-ORG
有 9 10 B 有 M-ORG
限 9 10 E 限 M-ORG
公 11 12 B 公 M-ORG
司 11 12 E 司 E-ORG
资 13 14 B 资 B-TITLE
产 13 14 E 产 M-TITLE
管 15 17 B 管 M-TITLE
理 15 17 M 理 M-TITLE
部 15 17 E 部 M-TITLE
副 18 21 B 副 M-TITLE
总 18 21 M 总 M-TITLE
经 18 21 M 经 M-TITLE
理 18 21 E 理 E-TITLE
兼 22 22 S 兼 O
投 23 25 B 投 B-TITLE
资 23 25 M 资 M-TITLE
部 23 25 E 部 M-TITLE
经 26 27 B 经 M-TITLE
理 26 27 E 理 E-TITLE
。 28 28 S 。 O
 
沈 0 1 B 沈 B-NAME
明 0 1 E 明 E-NAME
， 2 2 S ， O
男 3 3 S 男 O
， 4 4 S ， O
大 5 6 B 大 B-EDU
学 5 6 E 学 M-EDU
文 7 8 B 文 M-EDU
化 7 8 E 化 E-EDU
。 9 9 S 。 O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
0 0 4 M 0 O
年 0 4 E 年 O
1 5 7 B 1 O
0 5 7 M 0 O
月 5 7 E 月 O
至 8 8 S 至 O
2 9 13 B 2 O
0 9 13 M 0 O
0 9 13 M 0 O
8 9 13 M 8 O
年 9 13 E 年 O
4 14 15 B 4 O
月 14 15 E 月 O
任 16 17 B 任 O
成 16 17 E 成 B-ORG
都 18 18 S 都 M-ORG
华 19 20 B 华 M-ORG
融 19 20 E 融 M-ORG
化 21 22 B 化 M-ORG
工 21 22 E 工 M-ORG
有 23 24 B 有 M-ORG
限 23 24 E 限 M-ORG
公 25 26 B 公 M-ORG
司 25 26 E 司 E-ORG
总 27 29 B 总 B-TITLE
经 27 29 M 经 M-TITLE
理 27 29 E 理 E-TITLE
； 30 30 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
8 0 4 M 8 O
年 0 4 E 年 O
4 5 6 B 4 O
月 5 6 E 月 O
至 7 7 S 至 O
2 8 12 B 2 O
0 8 12 M 0 O
0 8 12 M 0 O
9 8 12 M 9 O
年 8 12 E 年 O
1 13 15 B 1 O
2 13 15 M 2 O
月 13 15 E 月 O
2 16 18 B 2 O
9 16 18 M 9 O
日 16 18 E 日 O
任 19 19 S 任 O
公 20 21 B 公 B-ORG
司 20 21 E 司 E-ORG
代 22 23 B 代 B-TITLE
理 22 23 E 理 M-TITLE
总 24 26 B 总 M-TITLE
经 24 26 M 经 M-TITLE
理 24 26 E 理 E-TITLE
； 27 27 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
9 0 4 M 9 O
年 0 4 E 年 O
1 5 7 B 1 O
2 5 7 M 2 O
月 5 7 E 月 O
2 8 10 B 2 O
9 8 10 M 9 O
日 8 10 E 日 O
至 11 11 S 至 O
2 12 16 B 2 O
0 12 16 M 0 O
1 12 16 M 1 O
1 12 16 M 1 O
年 12 16 E 年 O
1 17 19 B 1 O
0 17 19 M 0 O
月 17 19 E 月 O
2 20 22 B 2 O
4 20 22 M 4 O
日 20 22 E 日 O
任 23 23 S 任 O
公 24 25 B 公 B-ORG
司 24 25 E 司 E-ORG
总 26 28 B 总 B-TITLE
经 26 28 M 经 M-TITLE
理 26 28 E 理 E-TITLE
； 29 29 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
9 0 4 M 9 O
年 0 4 E 年 O
1 5 7 B 1 O
2 5 7 M 2 O
月 5 7 E 月 O
2 8 10 B 2 O
9 8 10 M 9 O
日 8 10 E 日 O
至 11 11 S 至 O
2 12 16 B 2 O
0 12 16 M 0 O
1 12 16 M 1 O
2 12 16 M 2 O
年 12 16 E 年 O
3 17 18 B 3 O
月 17 18 E 月 O
1 19 21 B 1 O
3 19 21 M 3 O
日 19 21 E 日 O
任 22 22 S 任 O
公 23 24 B 公 B-ORG
司 23 24 E 司 E-ORG
董 25 26 B 董 B-TITLE
事 25 26 E 事 E-TITLE
。 27 27 S 。 O
 
卢 0 2 B 卢 B-NAME
立 0 2 M 立 M-NAME
新 0 2 E 新 E-NAME
先 3 4 B 先 O
生 3 4 E 生 O
： 5 5 S ： O
1 6 11 B 1 O
9 6 11 M 9 O
6 6 11 M 6 O
6 6 11 M 6 O
年 6 11 M 年 O
生 6 11 E 生 O
， 12 12 S ， O
中 13 14 B 中 B-CONT
国 13 14 E 国 M-CONT
国 15 16 B 国 M-CONT
籍 15 16 E 籍 E-CONT
， 17 17 S ， O
无 18 19 B 无 O
境 18 19 E 境 O
外 20 21 B 外 O
居 20 21 E 居 O
留 22 23 B 留 O
权 22 23 E 权 O
， 24 24 S ， O
博 25 26 B 博 B-EDU
士 25 26 E 士 E-EDU
， 27 27 S ， O
大 28 29 B 大 B-TITLE
学 28 29 E 学 M-TITLE
教 30 31 B 教 M-TITLE
授 30 31 E 授 E-TITLE
， 32 32 S ， O
博 33 35 B 博 B-TITLE
士 33 35 M 士 M-TITLE
生 33 35 E 生 M-TITLE
导 36 37 B 导 M-TITLE
师 36 37 E 师 E-TITLE
。 38 38 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
8 0 4 M 8 O
7 0 4 M 7 O
年 0 4 E 年 O
任 5 6 B 任 O
江 5 6 E 江 B-ORG
西 7 9 B 西 M-ORG
理 7 9 M 理 M-ORG
工 7 9 E 工 M-ORG
大 10 11 B 大 M-ORG
学 10 11 E 学 E-ORG
教 12 13 B 教 B-TITLE
师 12 13 E 师 E-TITLE
、 14 14 S 、 O
教 15 17 B 教 B-TITLE
导 15 17 M 导 M-TITLE
处 15 17 E 处 M-TITLE
主 18 19 B 主 M-TITLE
任 18 19 E 任 E-TITLE
， 20 20 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
9 0 4 M 9 O
年 0 4 E 年 O
起 5 5 S 起 O
先 6 7 B 先 O
后 6 7 E 后 O
在 8 8 S 在 O
江 9 10 B 江 B-ORG
南 9 10 E 南 M-ORG
大 11 12 B 大 M-ORG
学 11 12 E 学 M-ORG
机 13 14 B 机 M-ORG
械 13 14 E 械 M-ORG
工 15 16 B 工 M-ORG
程 15 16 E 程 M-ORG
学 17 18 B 学 M-ORG
院 17 18 E 院 E-ORG
任 19 19 S 任 O
教 20 21 B 教 B-TITLE
师 20 21 E 师 E-TITLE
、 22 22 S 、 O
副 23 25 B 副 B-TITLE
院 23 25 M 院 M-TITLE
长 23 25 E 长 E-TITLE
、 26 26 S 、 O
院 27 28 B 院 B-TITLE
长 27 28 E 长 E-TITLE
， 29 29 S ， O
兼 30 31 B 兼 O
任 30 31 E 任 O
国 32 33 B 国 B-ORG
家 32 33 E 家 M-ORG
轻 34 36 B 轻 M-ORG
工 34 36 M 工 M-ORG
业 34 36 E 业 M-ORG
包 37 38 B 包 M-ORG
装 37 38 E 装 M-ORG
制 39 40 B 制 M-ORG
品 39 40 E 品 M-ORG
质 41 42 B 质 M-ORG
量 41 42 E 量 M-ORG
监 43 44 B 监 M-ORG
督 43 44 E 督 M-ORG
检 45 46 B 检 M-ORG
测 45 46 E 测 M-ORG
中 47 48 B 中 M-ORG
心 47 48 E 心 E-ORG
和 49 49 S 和 O
全 50 51 B 全 B-ORG
国 50 51 E 国 M-ORG
轻 52 54 B 轻 M-ORG
工 52 54 M 工 M-ORG
业 52 54 E 业 M-ORG
包 55 56 B 包 M-ORG
装 55 56 E 装 M-ORG
标 57 59 B 标 M-ORG
准 57 59 M 准 M-ORG
化 57 59 E 化 M-ORG
中 60 61 B 中 M-ORG
心 60 61 E 心 E-ORG
常 62 63 B 常 B-TITLE
务 62 63 E 务 M-TITLE
副 64 66 B 副 M-TITLE
主 64 66 M 主 M-TITLE
任 64 66 E 任 E-TITLE
兼 67 67 S 兼 O
技 68 69 B 技 B-TITLE
术 68 69 E 术 M-TITLE
负 70 72 B 负 M-TITLE
责 70 72 M 责 M-TITLE
人 70 72 E 人 E-TITLE
。 73 73 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
无 2 3 B 无 B-ORG
锡 2 3 E 锡 M-ORG
华 4 5 B 华 M-ORG
东 4 5 E 东 M-ORG
重 6 7 B 重 M-ORG
型 6 7 E 型 M-ORG
机 8 9 B 机 M-ORG
械 8 9 E 械 M-ORG
股 10 11 B 股 M-ORG
份 10 11 E 份 M-ORG
有 12 13 B 有 M-ORG
限 12 13 E 限 M-ORG
公 14 15 B 公 M-ORG
司 14 15 E 司 E-ORG
独 16 17 B 独 B-TITLE
立 16 17 E 立 M-TITLE
董 18 19 B 董 M-TITLE
事 18 19 E 事 E-TITLE
。 20 20 S 。 O
 
朱 0 2 B 朱 B-NAME
兆 0 2 M 兆 M-NAME
麒 0 2 E 麒 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
汉 6 7 B 汉 B-RACE
族 6 7 E 族 E-RACE
， 8 8 S ， O
本 9 10 B 本 B-EDU
科 9 10 E 科 M-EDU
学 11 12 B 学 M-EDU
历 11 12 E 历 E-EDU
， 13 13 S ， O
高 14 15 B 高 B-TITLE
级 14 15 E 级 M-TITLE
工 16 18 B 工 M-TITLE
程 16 18 M 程 M-TITLE
师 16 18 E 师 E-TITLE
。 19 19 S 。 O
 
历 0 1 B 历 O
任 0 1 E 任 O
十 2 3 B 十 B-ORG
四 2 3 E 四 M-ORG
所 4 4 S 所 M-ORG
研 5 7 B 研 M-ORG
究 5 7 M 究 M-ORG
室 5 7 E 室 E-ORG
副 8 10 B 副 B-TITLE
主 8 10 M 主 M-TITLE
任 8 10 E 任 E-TITLE
、 11 11 S 、 O
研 12 14 B 研 B-TITLE
究 12 14 M 究 M-TITLE
部 12 14 E 部 M-TITLE
副 15 17 B 副 M-TITLE
主 15 17 M 主 M-TITLE
任 15 17 E 任 E-TITLE
， 18 18 S ， O
现 19 20 B 现 O
任 19 20 E 任 O
国 21 22 B 国 B-ORG
睿 21 22 E 睿 M-ORG
科 23 24 B 科 M-ORG
技 23 24 E 技 M-ORG
股 25 26 B 股 M-ORG
份 25 26 E 份 M-ORG
